canonical_ar,english,frequency_class,corpus_share_pct,slot1_person_pct,slot2_father_pct,slot3_grandfather_pct,slot4_ancestor_pct,slot5_family_pct,slot6_clan_pct
سدرا,Sidra,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
سفق,Safaq,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
سفير,Safir,n,9.1e-05,10.0,50.0,30.0,10.0,0.0,0.0
سقاوة,Saqqawa,n,9.1e-05,0.0,0.0,0.0,0.0,70.0,30.0
سكيت,Sikkeet,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
سكيك,Sikkeik,n,9.1e-05,0.0,0.0,0.0,0.0,90.0,10.0
سلهوب,Salhoub,n,9.1e-05,0.0,0.0,0.0,0.0,90.0,10.0
سمعة,Somaa,n,9.1e-05,0.0,10.0,40.0,30.0,20.0,0.0
سني,Sani,n,9.1e-05,10.0,10.0,30.0,50.0,0.0,0.0
سهرة,Sahra,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
سوتير,Sotir,n,9.1e-05,80.0,20.0,0.0,0.0,0.0,0.0
سوداني,Sudani,n,9.1e-05,0.0,20.0,30.0,40.0,10.0,0.0
سوري,Soury,n,9.1e-05,0.0,50.0,20.0,30.0,0.0,0.0
سوريا,Souria,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
سوكارنو,Sukarno,n,9.1e-05,0.0,40.0,60.0,0.0,0.0,0.0
سولانج,Solange,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
سوهندا,Sohenda,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
سويطي,Sowaiti,n,9.1e-05,0.0,0.0,0.0,10.0,90.0,0.0
سيلمان,Silman,n,9.1e-05,0.0,10.0,30.0,50.0,10.0,0.0
شاهيستا,Shahista,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
شحتي,Shahti,n,9.1e-05,0.0,0.0,10.0,80.0,10.0,0.0
شراني,Sharrany,n,9.1e-05,0.0,0.0,10.0,90.0,0.0,0.0
شرشورة,Sharshoura,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
شرفاد,Sharfad,n,9.1e-05,0.0,10.0,0.0,70.0,20.0,0.0
شريت,Shereet,n,9.1e-05,10.0,20.0,40.0,20.0,10.0,0.0
شريفالدين,Sherifeldeen,n,9.1e-05,10.0,70.0,20.0,0.0,0.0,0.0
شعنون,Shaanoon,n,9.1e-05,0.0,0.0,0.0,0.0,80.0,20.0
شفاعة,Shafaa,n,9.1e-05,10.0,0.0,0.0,10.0,30.0,40.0
شفوق,Shafouq,n,9.1e-05,0.0,0.0,60.0,20.0,20.0,0.0
شلال,Shallal,n,9.1e-05,0.0,0.0,0.0,40.0,30.0,30.0
شلف,Shalaf,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
شليم,Shleem,n,9.1e-05,0.0,0.0,0.0,0.0,80.0,20.0
شليوة,Shelliwa,n,9.1e-05,0.0,0.0,0.0,0.0,50.0,50.0
شمارة,Shammara,n,9.1e-05,0.0,20.0,20.0,30.0,20.0,10.0
شنيار,Shinyar,n,9.1e-05,0.0,0.0,0.0,10.0,80.0,10.0
شهات,Shahhat,n,9.1e-05,0.0,0.0,10.0,90.0,0.0,0.0
شهرزاد,Shahrazad,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
شوبكي,Shobaky,n,9.1e-05,0.0,20.0,0.0,50.0,20.0,10.0
شوقية,Shawqeya,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
شيرلي,Shirley,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
صبولة,Sabboula,n,9.1e-05,0.0,0.0,0.0,100.0,0.0,0.0
صعب,Saab,n,9.1e-05,10.0,0.0,70.0,20.0,0.0,0.0
صنعالله,Sonaallah,n,9.1e-05,0.0,0.0,30.0,30.0,40.0,0.0
ضحوة,Dahwa,n,9.1e-05,0.0,0.0,10.0,40.0,50.0,0.0
طبش,Tabash,n,9.1e-05,0.0,0.0,10.0,0.0,90.0,0.0
طبنجة,Tabanja,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
طموم,Tammoum,n,9.1e-05,0.0,0.0,0.0,10.0,70.0,20.0
طميش,Tomeish,n,9.1e-05,0.0,0.0,0.0,50.0,50.0,0.0
عامري,Amery,n,9.1e-05,0.0,10.0,40.0,0.0,50.0,0.0
عبدالبخيت,Abdelbakhit,n,9.1e-05,0.0,0.0,0.0,60.0,40.0,0.0
عبدالجبير,Abdelgobeir,n,9.1e-05,0.0,20.0,60.0,20.0,0.0,0.0
عبدالقهار,Abdelqahhar,n,9.1e-05,20.0,20.0,40.0,20.0,0.0,0.0
عبدالمتكبر,Abdelmotakabber,n,9.1e-05,0.0,30.0,0.0,50.0,20.0,0.0
عبدي,Abdy,n,9.1e-05,0.0,30.0,50.0,20.0,0.0,0.0
عبعوب,Aaboub,n,9.1e-05,0.0,0.0,0.0,0.0,90.0,10.0
عزرا,Azra,n,9.1e-05,10.0,30.0,60.0,0.0,0.0,0.0
عصعوص,Asous,n,9.1e-05,0.0,0.0,0.0,20.0,50.0,30.0
عفيف,Afif,n,9.1e-05,0.0,30.0,30.0,0.0,20.0,10.0
علوية,Alaweya,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
عنطر,Antar,n,9.1e-05,0.0,10.0,60.0,30.0,0.0,0.0
عوالي,Awaly,n,9.1e-05,10.0,0.0,0.0,30.0,40.0,20.0
عونالله,Awnallah,n,9.1e-05,0.0,0.0,10.0,40.0,50.0,0.0
عيدروس,Aidaros,n,9.1e-05,0.0,20.0,60.0,10.0,10.0,0.0
غرارة,Gharrara,n,9.1e-05,0.0,0.0,40.0,0.0,30.0,30.0
غصن,Ghosn,n,9.1e-05,10.0,0.0,30.0,10.0,50.0,0.0
غندي,Ghandy,n,9.1e-05,0.0,80.0,20.0,0.0,0.0,0.0
فتوحي,Fotohy,n,9.1e-05,0.0,0.0,30.0,70.0,0.0,0.0
فراويلة,Farawila,n,9.1e-05,0.0,0.0,0.0,0.0,90.0,10.0
فريالة,Faryala,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
فريخ,Fareekh,n,9.1e-05,0.0,0.0,0.0,0.0,90.0,0.0
فسيخ,Faseekh,n,9.1e-05,0.0,0.0,0.0,20.0,80.0,0.0
فصادة,Fassada,n,9.1e-05,0.0,0.0,0.0,0.0,80.0,20.0
فلو,Fello,n,9.1e-05,10.0,0.0,0.0,10.0,80.0,0.0
فيتوري,Fitouri,n,9.1e-05,0.0,20.0,40.0,40.0,0.0,0.0
قرباوي,Qarbawy,n,9.1e-05,0.0,0.0,20.0,70.0,10.0,0.0
قردش,Qardash,n,9.1e-05,0.0,0.0,0.0,0.0,90.0,10.0
قرطمة,Qirtima,n,9.1e-05,0.0,0.0,0.0,0.0,90.0,10.0
قرون,Qoroun,n,9.1e-05,0.0,0.0,20.0,40.0,40.0,0.0
قريعة,Qoreia,n,9.1e-05,0.0,0.0,0.0,20.0,80.0,0.0
قسمالله,Qasamallah,n,9.1e-05,0.0,10.0,40.0,40.0,10.0,0.0
قشة,Qisha,n,9.1e-05,0.0,0.0,0.0,40.0,50.0,10.0
قطقط,Qatqat,n,9.1e-05,0.0,0.0,0.0,20.0,70.0,10.0
قوزع,Qawzaa,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
قوشة,Qousha,n,9.1e-05,0.0,0.0,0.0,0.0,70.0,30.0
قويمة,Qowaima,n,9.1e-05,0.0,0.0,0.0,10.0,60.0,30.0
قيبع,Qeeba,n,9.1e-05,0.0,0.0,0.0,0.0,50.0,50.0
كرتة,Karta,n,9.1e-05,0.0,0.0,0.0,10.0,90.0,0.0
كرش,Kareesh,n,9.1e-05,0.0,0.0,0.0,0.0,80.0,10.0
كرما,Karma,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
كروم,Koroum,n,9.1e-05,0.0,10.0,20.0,10.0,40.0,20.0
كريدي,Kreidy,n,9.1e-05,0.0,0.0,20.0,50.0,30.0,0.0
كسر,Kasr,n,9.1e-05,0.0,0.0,0.0,0.0,70.0,30.0
كلاوي,Kallawy,n,9.1e-05,0.0,0.0,0.0,40.0,60.0,0.0
كمونة,Kammouna,n,9.1e-05,0.0,0.0,0.0,0.0,80.0,20.0
كميلة,Kameela,n,9.1e-05,40.0,0.0,0.0,0.0,60.0,0.0
كياد,Kayyad,n,9.1e-05,0.0,80.0,10.0,10.0,0.0,0.0
لابان,Laban,n,9.1e-05,0.0,20.0,20.0,60.0,0.0,0.0
لافانيا,Lavania,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
لواء,Lewaa,n,9.1e-05,40.0,10.0,20.0,30.0,0.0,0.0
لوجلي,Logly,n,9.1e-05,0.0,30.0,0.0,60.0,10.0,0.0
لورنا,Lorna,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
لوسي,Lucy,n,9.1e-05,70.0,0.0,0.0,10.0,20.0,0.0
لوسيان,Lucien,n,9.1e-05,80.0,0.0,0.0,20.0,0.0,0.0
لويزو,Louizo,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
مؤتمن,Motaman,n,9.1e-05,30.0,40.0,20.0,10.0,0.0,0.0
مارولين,Maroline,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
ماريلا,Marila,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
مبشر,Mobasher,n,9.1e-05,80.0,10.0,0.0,10.0,0.0,0.0
متاؤس,Mataos,n,9.1e-05,70.0,10.0,10.0,0.0,10.0,0.0
متوشالح,Metushalah,n,9.1e-05,0.0,0.0,30.0,70.0,0.0,0.0
مجدالله,Magdallah,n,9.1e-05,0.0,0.0,0.0,30.0,70.0,0.0
مخمير,Mokhammeer,n,9.1e-05,0.0,10.0,0.0,30.0,40.0,20.0
مرسيس,Mersis,n,9.1e-05,0.0,0.0,30.0,70.0,0.0,0.0
مرعوة,Maraawa,n,9.1e-05,0.0,0.0,0.0,0.0,90.0,10.0
مرغة,Margha,n,9.1e-05,0.0,0.0,0.0,0.0,90.0,10.0
مرهف,Morhaf,n,9.1e-05,20.0,40.0,0.0,30.0,10.0,0.0
مريزيق,Morezeeq,n,9.1e-05,0.0,0.0,80.0,20.0,0.0,0.0
مزر,Mazr,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
مزروعة,Mazrouah,n,9.1e-05,0.0,0.0,0.0,0.0,80.0,20.0
مسعودة,Masauda,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
مصدق,Mosaddek,n,9.1e-05,10.0,40.0,30.0,20.0,0.0,0.0
مطرف,Motarref,n,9.1e-05,0.0,10.0,40.0,30.0,20.0,0.0
مطيط,Motayet,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
معلة,Maala,n,9.1e-05,0.0,0.0,20.0,20.0,60.0,0.0
معلوف,Maalouf,n,9.1e-05,0.0,10.0,0.0,10.0,80.0,0.0
معيلي,Moaily,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
مقروفة,Maqroufa,n,9.1e-05,0.0,0.0,10.0,60.0,30.0,0.0
مكس,Max,n,9.1e-05,0.0,10.0,40.0,40.0,10.0,0.0
مكنس,Miknas,n,9.1e-05,0.0,0.0,0.0,10.0,60.0,30.0
مليح,Maleeh,n,9.1e-05,0.0,30.0,50.0,0.0,20.0,0.0
مناصير,Manaseer,n,9.1e-05,0.0,0.0,10.0,10.0,60.0,20.0
مناوي,Mannawy,n,9.1e-05,0.0,10.0,30.0,20.0,10.0,30.0
منطلب,Mintalab,n,9.1e-05,0.0,0.0,70.0,10.0,20.0,0.0
منيصير,Moneiseer,n,9.1e-05,0.0,0.0,20.0,70.0,10.0,0.0
مهادا,Mahada,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
موتة,Mawta,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
موينة,Mowaina,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
ميخا,Mikha,n,9.1e-05,10.0,60.0,0.0,10.0,20.0,0.0
ميريل,Mireille,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
ميشو,Michou,n,9.1e-05,0.0,60.0,20.0,20.0,0.0,0.0
ميصائيل,Misaeel,n,9.1e-05,70.0,30.0,0.0,0.0,0.0,0.0
نابغ,Nabegh,n,9.1e-05,0.0,100.0,0.0,0.0,0.0,0.0
نايض,Nayed,n,9.1e-05,0.0,10.0,70.0,20.0,0.0,0.0
نجوم,Nogoum,n,9.1e-05,40.0,0.0,0.0,0.0,60.0,0.0
نحمدو,Nahmadou,n,9.1e-05,30.0,10.0,60.0,0.0,0.0,0.0
نظام,Nezam,n,9.1e-05,0.0,40.0,60.0,0.0,0.0,0.0
نفادة,Naffada,n,9.1e-05,0.0,0.0,30.0,50.0,20.0,0.0
نماء,Namaa,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
نمنم,Nemnem,n,9.1e-05,0.0,0.0,0.0,10.0,30.0,60.0
نورمينا,Normina,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
نيبر,Neebar,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
هتهوت,Hathout,n,9.1e-05,0.0,0.0,0.0,10.0,60.0,30.0
هدوء,Hodou,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
هديمة,Hadeema,n,9.1e-05,0.0,0.0,0.0,0.0,50.0,30.0
هلبيس,Halbis,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
هيلن,Helen,n,9.1e-05,100.0,0.0,0.0,0.0,0.0,0.0
وحشة,Wahsha,n,9.1e-05,0.0,0.0,0.0,0.0,100.0,0.0
وردان,Wardan,n,9.1e-05,0.0,20.0,0.0,40.0,40.0,0.0
وسلي,Wasly,n,9.1e-05,0.0,20.0,50.0,30.0,0.0,0.0
وسية,Waseya,n,9.1e-05,0.0,10.0,0.0,50.0,30.0,0.0
وشاحي,Wishahy,n,9.1e-05,0.0,10.0,0.0,40.0,50.0,0.0
وغريس,Waghrees,n,9.1e-05,0.0,0.0,60.0,30.0,0.0,10.0
وكيل,Wakeel,n,9.1e-05,0.0,30.0,20.0,40.0,10.0,0.0
وهاب,Wahhab,n,9.1e-05,0.0,0.0,40.0,0.0,60.0,0.0
يسلم,Yaslam,n,9.1e-05,20.0,20.0,40.0,10.0,10.0,0.0
يوئيل,Yoel,n,9.1e-05,70.0,10.0,20.0,0.0,0.0,0.0
أبوأربعة,Abuarbaa,r,8.2e-05,0.0,0.0,0.0,22.22,77.78,0.0
أبوالخشب,Abuelkhashab,r,8.2e-05,0.0,0.0,0.0,11.11,88.89,0.0
أبوالشدايد,Abuelshadayed,r,8.2e-05,0.0,0.0,44.44,0.0,44.44,11.11
أبوالعرب,Abuelarab,r,8.2e-05,0.0,0.0,22.22,55.56,22.22,0.0
أبوالنوم,Abuelnawm,r,8.2e-05,0.0,0.0,22.22,33.33,22.22,22.22
أبوبسيوني,Abubissyouny,r,8.2e-05,0.0,0.0,0.0,22.22,77.78,0.0
أبوترك,Abuturk,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
أبوجبين,Abugabeen,r,8.2e-05,0.0,0.0,11.11,0.0,88.89,0.0
أبوجلوة,Abugelwa,r,8.2e-05,0.0,0.0,0.0,22.22,77.78,0.0
أبوحج,Abuhagg,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
أبوحربة,Abuharba,r,8.2e-05,0.0,0.0,33.33,44.44,22.22,0.0
أبوخرص,Abukhors,r,8.2e-05,0.0,0.0,0.0,77.78,22.22,0.0
أبودغيد,Abudogheid,r,8.2e-05,0.0,0.0,0.0,100.0,0.0,0.0
أبودفية,Abudofaya,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
أبورامون,Aburamon,r,8.2e-05,0.0,0.0,11.11,0.0,77.78,11.11
أبورخا,Aburakha,r,8.2e-05,0.0,0.0,0.0,11.11,44.44,44.44
أبورقية,Aburoqaya,r,8.2e-05,0.0,0.0,0.0,0.0,55.56,44.44
أبوزرد,Abuzard,r,8.2e-05,0.0,0.0,0.0,22.22,77.78,0.0
أبوزريبة,Abuzareeba,r,8.2e-05,0.0,0.0,0.0,55.56,44.44,0.0
أبوزيدان,Abuzaidan,r,8.2e-05,0.0,0.0,0.0,33.33,66.67,0.0
أبوسراري,Abusarrary,r,8.2e-05,0.0,0.0,0.0,0.0,77.78,22.22
أبوسعيفة,Abusaeefa,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
أبوسكر,Abusokkar,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
أبوسنجر,Abusanjar,r,8.2e-05,0.0,0.0,0.0,0.0,88.89,11.11
أبوسند,Abusanad,r,8.2e-05,0.0,0.0,0.0,22.22,77.78,0.0
أبوشريفة,Abushereefa,r,8.2e-05,0.0,0.0,0.0,0.0,88.89,11.11
أبوشهدة,Abushahda,r,8.2e-05,0.0,0.0,0.0,33.33,55.56,11.11
أبوطوالة,Abutawwala,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
أبوطوق,Abutawq,r,8.2e-05,0.0,0.0,11.11,33.33,44.44,11.11
أبوظلام,Abuzalam,r,8.2e-05,0.0,0.0,0.0,0.0,77.78,22.22
أبوعاقلة,Abuaaqla,r,8.2e-05,0.0,11.11,11.11,77.78,0.0,0.0
أبوعدب,Abuaadab,r,8.2e-05,0.0,11.11,0.0,77.78,11.11,0.0
أبوعون,Abuaawn,r,8.2e-05,0.0,33.33,0.0,11.11,33.33,22.22
أبوغالمة,Abughalema,r,8.2e-05,0.0,0.0,0.0,22.22,77.78,0.0
أبوغطفة,Abughatfa,r,8.2e-05,0.0,0.0,0.0,11.11,88.89,0.0
أبوغياض,Abughayyad,r,8.2e-05,0.0,0.0,0.0,33.33,44.44,22.22
أبوقديحة,Abuqodeiha,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
أبوقفص,Abuqafas,r,8.2e-05,0.0,0.0,0.0,22.22,77.78,0.0
أبولابد,Abulabed,r,8.2e-05,0.0,33.33,11.11,22.22,33.33,0.0
أبومرة,Abumorra,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
أبوناسو,Abunasou,r,8.2e-05,0.0,0.0,0.0,11.11,66.67,22.22
أبونعيمة,Abunoaima,r,8.2e-05,0.0,0.0,0.0,0.0,88.89,11.11
أبونمشة,Abunamsha,r,8.2e-05,0.0,0.0,0.0,11.11,88.89,0.0
أبونور,Abunour,r,8.2e-05,0.0,0.0,0.0,0.0,66.67,33.33
أبوهجار,Abuhaggar,r,8.2e-05,0.0,0.0,11.11,55.56,33.33,0.0
أبوهديمة,Abuhadeema,r,8.2e-05,0.0,0.0,0.0,22.22,77.78,0.0
أحمدان,Ahmedan,r,8.2e-05,0.0,44.44,11.11,33.33,11.11,0.0
أرسانيا,Arsania,r,8.2e-05,100.0,0.0,0.0,0.0,0.0,0.0
أصبح,Asbah,r,8.2e-05,0.0,100.0,0.0,0.0,0.0,0.0
أغاريد,Aghareed,r,8.2e-05,100.0,0.0,0.0,0.0,0.0,0.0
أفريج,Afreej,r,8.2e-05,0.0,44.44,33.33,22.22,0.0,0.0
أفرينا,Afreena,r,8.2e-05,100.0,0.0,0.0,0.0,0.0,0.0
أمبادر,Ambader,r,8.2e-05,0.0,0.0,11.11,77.78,11.11,0.0
أميز,Ameez,r,8.2e-05,33.33,55.56,11.11,0.0,0.0,0.0
أنسطاسيا,Anastasia,r,8.2e-05,100.0,0.0,0.0,0.0,0.0,0.0
أنطانيوس,Antanious,r,8.2e-05,11.11,44.44,0.0,11.11,33.33,0.0
أهداب,Ahdab,r,8.2e-05,100.0,0.0,0.0,0.0,0.0,0.0
أوجين,Eugene,r,8.2e-05,55.56,11.11,22.22,11.11,0.0,0.0
إسلامالدين,Islameldin,r,8.2e-05,0.0,100.0,0.0,0.0,0.0,0.0
إيادالدين,Eyadeldin,r,8.2e-05,100.0,0.0,0.0,0.0,0.0,0.0
إيزيس,Isis,r,8.2e-05,100.0,0.0,0.0,0.0,0.0,0.0
إيلياس,Elias,r,8.2e-05,0.0,0.0,0.0,100.0,0.0,0.0
إينال,Enal,r,8.2e-05,33.33,55.56,11.11,0.0,0.0,0.0
ابنية,Ebneya,r,8.2e-05,0.0,11.11,11.11,66.67,11.11,0.0
استبان,Esteban,r,8.2e-05,0.0,0.0,11.11,44.44,44.44,0.0
الأذلي,Elazly,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
الأربعين,Elarbaeen,r,8.2e-05,0.0,0.0,0.0,55.56,44.44,0.0
الأفاوي,Elafawy,r,8.2e-05,0.0,22.22,44.44,33.33,0.0,0.0
الأقداحي,Elaqdahy,r,8.2e-05,0.0,0.0,0.0,0.0,77.78,22.22
الأنبابي,Elanbaby,r,6.4e-05,0.0,0.0,0.0,0.0,55.56,33.33
الإسريجي,Elesreegy,r,8.2e-05,0.0,0.0,0.0,22.22,77.78,0.0
الإيراني,Eleirani,r,8.2e-05,0.0,0.0,0.0,11.11,77.78,11.11
الابوز,Elabouz,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
الباش,Elbash,r,8.2e-05,0.0,0.0,0.0,0.0,55.56,44.44
البجرمي,Elbagarmy,r,8.2e-05,0.0,0.0,0.0,0.0,77.78,22.22
البحلاق,Elbahlaq,r,8.2e-05,0.0,0.0,0.0,11.11,22.22,66.67
البراج,Elbarrag,r,8.2e-05,0.0,0.0,0.0,0.0,88.89,0.0
البراهمة,Elbarahma,r,8.2e-05,0.0,0.0,0.0,0.0,77.78,22.22
البرناوي,Elbarnawy,r,8.2e-05,0.0,0.0,11.11,11.11,44.44,33.33
البريقي,Elboraiky,r,8.2e-05,0.0,0.0,0.0,0.0,44.44,55.56
البسوسي,Elbasousy,r,8.2e-05,0.0,0.0,0.0,11.11,33.33,55.56
البطال,Elbattal,r,8.2e-05,0.0,0.0,66.67,11.11,22.22,0.0
البقاعي,Elbeqaiy,r,8.2e-05,0.0,0.0,77.78,22.22,0.0,0.0
البلام,Elballam,r,8.2e-05,0.0,0.0,0.0,0.0,66.67,33.33
البلبوشي,Elbalboshy,r,8.2e-05,0.0,0.0,0.0,0.0,22.22,77.78
البلط,Elbalat,r,8.2e-05,0.0,0.0,0.0,0.0,66.67,33.33
البلم,Elbalam,r,8.2e-05,0.0,0.0,0.0,11.11,66.67,22.22
البن,Elbonn,r,8.2e-05,0.0,0.0,0.0,0.0,66.67,22.22
البهتيمي,Elbahtimy,r,8.2e-05,0.0,11.11,0.0,0.0,88.89,0.0
البيرت,Elbiert,r,8.2e-05,11.11,44.44,44.44,0.0,0.0,0.0
التركة,Eltareka,r,8.2e-05,0.0,0.0,0.0,22.22,77.78,0.0
التليني,Eltelleeny,r,8.2e-05,0.0,0.0,0.0,0.0,77.78,22.22
الجاسر,Elgaser,r,8.2e-05,22.22,0.0,44.44,11.11,22.22,0.0
الجربيد,Elgerbeed,r,8.2e-05,0.0,0.0,0.0,0.0,77.78,22.22
الجرزاوي,Elgerzawy,r,8.2e-05,0.0,44.44,44.44,0.0,0.0,0.0
الجعودي,Elgaoudy,r,8.2e-05,0.0,0.0,0.0,22.22,66.67,11.11
الجلاب,Elgallab,r,8.2e-05,0.0,0.0,0.0,11.11,44.44,22.22
الجنيد,Elgonaid,r,8.2e-05,11.11,11.11,22.22,55.56,0.0,0.0
الجودي,Elgoudy,r,8.2e-05,44.44,0.0,22.22,11.11,22.22,0.0
الحبتي,Elhabty,r,8.2e-05,0.0,0.0,0.0,66.67,33.33,0.0
الحتة,Elhetta,r,8.2e-05,0.0,0.0,0.0,0.0,66.67,33.33
الحساب,Elhesab,r,8.2e-05,0.0,0.0,0.0,100.0,0.0,0.0
الحطيني,Elhetteeny,r,8.2e-05,0.0,0.0,0.0,22.22,55.56,22.22
الحلاب,Elhallab,r,8.2e-05,0.0,0.0,0.0,0.0,88.89,11.11
الحليلي,Elhaleely,r,8.2e-05,0.0,0.0,0.0,33.33,55.56,11.11
الحمايدة,Elhamayda,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
الحملة,Elhamla,r,8.2e-05,0.0,0.0,0.0,0.0,33.33,66.67
الحنتوشي,Elhantoushy,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
الحويزي,Elhowazy,r,8.2e-05,0.0,0.0,0.0,0.0,55.56,44.44
الخديوي,Elkhedewy,r,8.2e-05,0.0,44.44,55.56,0.0,0.0,0.0
الخرخيسي,Elkharkheesy,r,8.2e-05,0.0,0.0,0.0,11.11,88.89,0.0
الخشني,Elkhashny,r,8.2e-05,0.0,0.0,0.0,55.56,11.11,33.33
الخط,Elkhatt,r,8.2e-05,11.11,22.22,66.67,0.0,0.0,0.0
الخفير,Elkhafeer,r,8.2e-05,0.0,0.0,0.0,11.11,55.56,33.33
الخيش,Elkheish,r,8.2e-05,0.0,0.0,0.0,0.0,77.78,22.22
الدبس,Eldebs,r,8.2e-05,0.0,0.0,0.0,33.33,66.67,0.0
الدج,Eldagg,r,8.2e-05,0.0,0.0,0.0,33.33,11.11,55.56
الدجدج,Eldagdag,r,8.2e-05,0.0,0.0,0.0,0.0,33.33,66.67
الدر,Eldorr,r,8.2e-05,0.0,0.0,0.0,11.11,55.56,33.33
الدرعي,Eldarei,r,8.2e-05,0.0,0.0,0.0,11.11,77.78,11.11
الدروتيني,Eldaroteeny,r,8.2e-05,0.0,0.0,0.0,11.11,88.89,0.0
الدريدي,Eldoraidy,r,8.2e-05,0.0,0.0,0.0,22.22,33.33,44.44
الدعمة,Eldaama,r,8.2e-05,0.0,0.0,0.0,33.33,55.56,11.11
الدويني,Eldowainy,r,8.2e-05,0.0,11.11,0.0,11.11,55.56,22.22
الرايق,Elrayeq,r,8.2e-05,0.0,0.0,0.0,11.11,22.22,11.11
الربوة,Elrabwa,r,8.2e-05,0.0,0.0,0.0,22.22,66.67,11.11
الرجلاتي,Elraglaty,r,8.2e-05,0.0,0.0,0.0,11.11,55.56,22.22
الرحل,Elrahl,r,8.2e-05,0.0,0.0,0.0,11.11,66.67,22.22
الرحيمي,Elraheemy,r,8.2e-05,0.0,0.0,0.0,0.0,88.89,11.11
الرميحي,Elromaichy,r,8.2e-05,0.0,0.0,0.0,0.0,88.89,11.11
الرميلي,Elromaily,r,8.2e-05,0.0,0.0,0.0,11.11,88.89,0.0
الزردق,Elzardaq,r,8.2e-05,0.0,0.0,0.0,0.0,100.0,0.0
الزرو,Elzarro,r,8.2e-05,0.0,0.0,0.0,0.0,55.56,33.33
الزقاقي,Elzaqqaqy,r,8.2e-05,0.0,0.0,0.0,11.11,55.56,11.11
الزكير,Elzakeer,r,8.2e-05,0.0,22.22,55.56,11.11,11.11,0.0
الزنط,Elzant,r,8.2e-05,0.0,0.0,0.0,0.0,33.33,66.67
الساخي,Elsakhy,r,8.2e-05,0.0,0.0,0.0,11.11,77.78,11.11
السبد,Elsibed,r,8.2e-05,11.11,22.22,11.11,22.22,33.33,0.0
السبعة,Elsabaa,r,8.2e-05,0.0,0.0,0.0,33.33,66.67,0.0
الستاوي,Elsattawy,r,8.2e-05,0.0,0.0,0.0,11.11,66.67,22.22
السخن,Elsakhn,r,8.2e-05,0.0,0.0,0.0,0.0,88.89,11.11
السدسي,Elsodasy,r,8.2e-05,0.0,0.0,0.0,11.11,88.89,0.0
السفطي,Elsafty,r,8.2e-05,0.0,0.0,0.0,0.0,55.56,33.33
السكوت,Elsokout,r,8.2e-05,0.0,0.0,0.0,0.0,88.89,11.11
السكي,Elsikky,r,8.2e-05,0.0,0.0,22.22,55.56,22.22,0.0
