canonical_ar,english,frequency_class,corpus_share_pct,slot1_person_pct,slot2_father_pct,slot3_grandfather_pct,slot4_ancestor_pct,slot5_family_pct,slot6_clan_pct
شحاتة,Shehata,c,0.208419,0.23,8.86,30.04,32.36,24.86,3.48
عبدالوهاب,Abdelwahab,c,0.205739,4.21,9.14,32.02,39.94,13.77,0.87
عصام,Essam,c,0.203868,5.26,91.61,2.85,0.27,0.0,0.0
عبدالرحيم,Abdelrahim,c,0.203804,2.12,13.12,29.6,36.84,17.32,0.97
السعيد,Elsaeed,c,0.202869,2.28,20.43,38.95,31.18,6.7,0.44
حنين,Haneen,c,0.202106,95.24,0.13,0.7,2.27,1.64,0.02
عبدالعظيم,Abdelazim,c,0.201997,1.88,9.79,43.74,39.45,4.85,0.25
أسماء,Asmaa,c,0.201506,100.0,0.0,0.0,0.0,0.0,0.0
عبدالمجيد,Abdelmeguid,c,0.201234,1.03,7.29,24.77,46.99,18.87,1.01
صابر,Saber,c,0.200434,2.02,34.08,43.1,16.94,3.45,0.39
عبدالحليم,Abdelhalim,c,0.198827,2.01,10.77,29.33,43.1,13.84,0.93
شريف,Sherif,c,0.198809,8.44,75.04,3.56,3.55,7.47,1.82
عبدالقادر,Abdelkader,c,0.197364,1.27,10.09,30.42,40.81,16.49,0.9
رحمة,Rahma,c,0.193495,99.54,0.0,0.03,0.09,0.26,0.06
وائل,Wael,c,0.193349,2.4,96.91,0.64,0.04,0.01,0.0
مجدي,Magdy,c,0.193286,4.35,81.37,13.0,1.16,0.09,0.03
منة,Menna,c,0.192723,100.0,0.0,0.0,0.0,0.0,0.0
فوزي,Fawzy,c,0.191987,2.28,17.97,68.47,10.26,0.76,0.21
عبدالغني,Abdelghany,c,0.190461,1.34,8.2,28.46,47.73,13.45,0.79
سلامة,Salama,c,0.189207,1.38,16.38,23.47,25.33,29.04,4.24
علاء,Alaa,c,0.183467,11.02,88.19,0.75,0.03,0.0,0.01
كريم,Karim,c,0.181159,79.72,12.86,2.35,2.12,2.53,0.4
روان,Rawan,c,0.180133,100.0,0.0,0.01,0.0,0.0,0.0
ياسمين,Yasmin,c,0.179842,99.92,0.0,0.0,0.01,0.05,0.02
يحيى,Yehia,c,0.179624,26.91,31.77,28.84,7.19,4.54,0.72
عباس,Abbas,c,0.178698,0.49,8.84,31.62,47.47,10.62,0.9
هشام,Hesham,c,0.178162,12.19,85.78,1.55,0.19,0.27,0.02
متولي,Metwally,c,0.174165,0.6,6.71,21.28,36.09,32.98,2.25
هاجر,Hagar,c,0.173775,99.93,0.01,0.0,0.01,0.02,0.03
عاطف,Atef,c,0.173439,3.32,76.22,18.23,2.08,0.14,0.02
إيمان,Iman,c,0.173321,99.91,0.07,0.02,0.0,0.0,0.0
إسراء,Esraa,c,0.170368,99.99,0.01,0.0,0.0,0.0,0.0
آلاء,Alaa,c,0.167107,99.99,0.01,0.0,0.0,0.0,0.0
سامي,Sami,c,0.166335,4.67,64.84,23.64,6.32,0.36,0.14
نور,Nour,c,0.165491,89.77,4.18,1.67,1.79,1.83,0.71
عبدالرازق,Abdelrazek,c,0.164628,1.38,10.22,35.58,36.76,14.94,1.06
مرسي,Morsi,c,0.162993,0.27,5.01,15.5,38.58,38.21,2.34
عبدالهادي,Abdelhady,c,0.162248,2.05,11.87,30.64,37.2,17.06,1.14
فؤاد,Fouad,c,0.160304,4.1,13.15,57.52,22.74,2.15,0.29
سامح,Sameh,c,0.159423,5.28,93.11,1.37,0.22,0.02,0.0
زكي,Zaky,c,0.157234,0.36,6.67,29.31,56.25,6.53,0.78
تامر,Tamer,c,0.155072,2.86,94.1,1.63,1.27,0.12,0.03
توفيق,Tawfik,c,0.1544,1.69,8.02,32.05,50.01,7.32,0.81
عبدالجواد,Abdelgawad,c,0.153255,0.65,7.92,24.12,45.35,20.71,1.19
جابر,Gaber,c,0.152456,1.72,23.11,50.41,18.83,5.31,0.61
إيهاب,Ehab,c,0.152392,7.64,91.45,0.84,0.07,0.0,0.0
